OBJECTID_1,TAP,MAT,pH,AP,AK,TP,TK,TN,OM
3855,578.251,-0.057291,6.339,5.815,218.91,0.07297,1.82,0.1532,3.947
3856,582.947,-0.444125,5.915,6.928,107.08,0.07423,2.128,0.313,8.15
3879,547.335,1.38692,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
3882,529.25,1.43283,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
3883,528.283,1.58737,6.75,14.21,224.91,0.09991,2.297,0.2458,5.235
3888,474.457,-2.51962,7.121,3.326,244.02,0.06565,2.139,0.2517,3.978
3943,568.581,0.556084,5.923,12.38,211.33,0.08419,2.108,0.3296,10.21
3944,570.915,0.62875,5.923,12.38,211.33,0.08419,2.108,0.3296,10.21
3945,570.443,0.759458,5.923,12.38,211.33,0.08419,2.108,0.3296,10.21
3947,571.835,0.740333,6.915,4.644,152.82,0.09156,2.264,0.2107,4.234
3948,569.652,0.577375,7.998,7.061,133.62,0.04528,1.877,0.295,5.456
3949,567.969,0.710375,6.915,4.644,152.82,0.09156,2.264,0.2107,4.234
3950,571.354,0.483166,7.998,7.061,133.62,0.04528,1.877,0.295,5.456
3959,584.747,0.132874,6.339,5.815,218.91,0.07297,1.82,0.1532,3.947
3961,585.96,0.165917,5.915,6.928,107.08,0.07423,2.128,0.313,8.15
3964,592.862,-0.165751,5.955,8.403,148.26,0.1028,2.006,0.2721,5.384
3984,539.62,1.61375,6.564,10.3,171.26,0.102,2.059,0.4459,9.18
3987,527.211,1.23467,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
3992,477,-2.757,7.121,3.326,244.02,0.06565,2.139,0.2517,3.978
4046,576.496,0.563083,5.923,7.073,149.2,0.09986,1.853,0.3031,9.345
4049,570.587,0.769959,5.923,12.38,211.33,0.08419,2.108,0.3296,10.21
4050,571.006,0.942875,6.339,5.815,218.91,0.07297,1.82,0.1532,3.947
4051,570.706,0.758249,6.339,5.815,218.91,0.07297,1.82,0.1532,3.947
4054,569.744,0.807125,7.998,7.061,133.62,0.04528,1.877,0.295,5.456
4055,570.329,0.728417,7.998,7.061,133.62,0.04528,1.877,0.295,5.456
4056,570.096,0.658667,7.998,7.061,133.62,0.04528,1.877,0.295,5.456
4057,575.76,0.526084,7.998,7.061,133.62,0.04528,1.877,0.295,5.456
4064,590.546,0.180875,5.955,8.403,147.32,0.1028,2.006,0.2721,5.384
4093,528.574,1.458,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
4096,444.012,-2.03929,7.535,3,140.57,0.04246,2.267,0.1382,2.052
4155,571.099,0.909875,5.923,7.073,149.2,0.09986,1.853,0.3031,9.345
4156,567.013,0.994792,6.339,5.815,218.91,0.07297,1.82,0.1532,3.947
4157,571.312,0.922125,6.339,5.815,218.91,0.07297,1.82,0.1532,3.947
4158,573.111,0.918,5.923,12.38,211.33,0.08419,2.108,0.3296,10.21
4159,572.387,0.800791,6.915,4.644,152.82,0.09156,2.264,0.2107,4.234
4160,573.739,0.861375,6.915,4.644,152.82,0.09156,2.264,0.2107,4.234
4162,573.207,0.81275,6.915,4.644,152.82,0.09156,2.264,0.2107,4.234
4163,582.557,0.675291,6.915,4.644,152.82,0.09156,2.264,0.2107,4.234
4164,580.845,0.763708,6.915,4.644,152.82,0.09156,2.264,0.2107,4.234
4170,587.569,0.542917,6.339,5.815,218.91,0.07297,1.82,0.1532,3.947
4171,593.641,0.316875,5.915,6.928,107.08,0.07423,2.128,0.313,8.15
4172,592.869,0.532166,5.915,6.928,107.08,0.07423,2.128,0.313,8.15
4174,596.499,0.0213339,5.915,6.928,107.08,0.07423,2.128,0.313,8.15
4200,531.278,1.29929,5.955,7.213,153.71,0.1028,2.006,0.2721,5.384
4266,584.159,1.07971,5.923,7.073,149.2,0.09986,1.853,0.3031,9.345
4267,575.635,1.05996,5.923,7.073,149.2,0.09986,1.853,0.3031,9.345
4270,573.3,0.909542,6.704,4.644,152.82,0.0926,2.166,0.2107,4.234
4271,580.024,0.718792,5.923,12.38,211.33,0.08419,2.108,0.3296,10.21
4273,580.684,0.548999,5.923,12.38,211.33,0.08419,2.108,0.3296,10.21
4275,589.77,0.75475,5.923,12.38,211.33,0.08419,2.108,0.3296,10.21
4282,587.853,0.544,5.915,7.073,107.08,0.08756,2.087,0.3164,7.371
4284,597.965,0.42025,5.915,7.073,107.08,0.08756,2.087,0.3164,7.371
4285,591.259,0.440083,6.339,5.815,218.91,0.07297,1.82,0.1532,3.947
4289,597.736,0.0448335,6.564,10.3,171.26,0.102,2.059,0.4459,9.18
4311,531.993,1.20504,5.955,7.685,153.71,0.1028,2.006,0.2721,5.384
4319,447.476,-2.35579,7.535,3,140.57,0.04246,2.267,0.1382,2.052
4377,579.826,0.682916,6.339,5.815,218.91,0.07297,1.82,0.1532,3.947
4378,589.646,0.681208,5.923,7.073,149.2,0.09986,1.853,0.3031,9.345
4379,584.184,1.04254,6.915,3.795,123.67,0.09156,2.264,0.2107,4.234
4380,579.676,1.06767,6.915,3.795,123.67,0.09156,2.264,0.2107,4.234
4381,573.602,1.25254,6.915,3.795,123.67,0.09156,2.264,0.2107,4.234
4382,572.22,1.38992,6.339,5.815,218.91,0.07297,1.82,0.1532,3.947
4383,579.109,0.9515,6.704,4.644,152.82,0.0926,2.166,0.2107,4.234
4384,578.294,0.843083,6.704,4.644,152.82,0.0926,2.166,0.2107,4.234
4388,594.104,0.885666,5.923,12.38,211.33,0.08419,2.108,0.3296,10.21
4394,592.178,0.663333,5.955,8.282,142.06,0.1028,2.006,0.2721,5.384
4395,591.133,0.575417,5.915,7.073,107.08,0.08756,2.087,0.3164,7.371
4421,558.214,1.08567,5.955,7.213,153.71,0.1028,2.006,0.2721,5.384
4425,537.951,1.48542,6.564,10.3,171.26,0.102,2.059,0.4459,9.18
4433,452.35,-2.27962,7.121,3.326,244.02,0.06565,2.139,0.2517,3.978
4440,477.057,-2.08029,6.406,5.815,218.91,0.07297,2.025,0.1402,2.799
4490,587.695,0.798792,5.923,7.073,149.2,0.09986,1.853,0.3031,9.345
4491,587.848,0.868708,5.923,7.073,149.2,0.09986,1.853,0.3031,9.345
4492,585.861,1.11779,5.923,7.073,149.2,0.09986,1.853,0.3031,9.345
4493,581.102,1.05554,5.923,7.073,149.2,0.09986,1.853,0.3031,9.345
4494,584.613,1.05308,6.915,3.795,123.67,0.09156,2.264,0.2107,4.234
4495,582.509,1.33158,6.915,3.795,123.67,0.09156,2.264,0.2107,4.234
4496,580.216,1.44362,6.339,5.815,218.91,0.07297,1.82,0.1532,3.947
4497,581.745,1.09192,6.704,4.644,152.82,0.0926,2.166,0.2107,4.234
4498,582.717,1.16079,6.704,4.644,152.82,0.0926,2.166,0.2107,4.234
4500,579.872,0.842583,6.704,4.644,152.82,0.0926,2.166,0.2107,4.234
4501,591.568,0.625375,6.704,4.644,152.82,0.0926,2.166,0.2107,4.234
4503,591.729,1.1665,5.923,12.38,211.33,0.08419,2.108,0.3296,10.21
4504,589.922,1.24912,6.339,5.815,218.91,0.07297,1.82,0.1532,3.947
4508,589.993,1.01792,5.915,12.38,113.07,0.08461,2.128,0.3164,8.358
4554,454.661,-1.70788,6.406,5.815,218.91,0.07297,2.025,0.1402,2.799
4555,456.829,-1.65921,7.535,3,140.57,0.04246,2.267,0.1382,2.052
4558,482.321,-2.24967,7.121,3.326,244.02,0.06565,2.139,0.2517,3.978
4608,588.121,1.20425,6.339,5.815,218.91,0.07297,1.82,0.1532,3.947
4612,590.72,0.854501,6.915,3.795,123.67,0.09156,2.264,0.2107,4.234
4613,593.144,1.39358,6.915,3.795,123.67,0.09156,2.264,0.2107,4.234
4615,584.264,1.24362,6.339,5.815,218.91,0.07297,1.82,0.1532,3.947
4618,588.478,0.733834,6.704,4.644,152.82,0.0926,2.166,0.2107,4.234
4619,594.209,1.139,5.915,16.51,149.2,0.08419,2.136,0.3164,9.777
4622,589.592,1.07387,6.704,4.644,152.82,0.0926,2.166,0.2107,4.234
4624,594.749,1.16208,6.339,5.815,218.91,0.07297,1.82,0.1532,3.947
4625,593.627,1.12813,6.339,5.815,218.91,0.07297,1.82,0.1532,3.947
4626,597.27,0.960208,6.704,4.644,152.82,0.09156,2.225,0.2032,3.709
4627,600.052,0.6865,5.955,8.282,142.06,0.1028,2.006,0.2721,5.384
4628,603.822,0.511292,5.955,8.282,142.06,0.1028,2.006,0.2721,5.384
4659,523.89,1.86279,6.406,5.815,218.91,0.1219,1.871,0.189,4.513
4660,522.088,1.45867,6.406,5.815,218.91,0.1219,1.871,0.189,4.513
4673,452.328,-1.648,6.406,5.815,218.91,0.07297,2.025,0.1402,2.799
4674,451.288,-1.70992,6.406,5.815,218.91,0.07297,2.025,0.1402,2.799
4716,564.89,0.591376,6.868,5.815,218.91,0.08032,1.729,0.1532,3.065
4723,588.597,0.7485,6.763,5.41,148.12,0.0978,2.649,0.2137,4.521
4725,587.879,0.980792,6.763,5.41,148.12,0.0978,2.649,0.2137,4.521
4729,587.477,1.00358,6.339,5.815,218.91,0.07297,1.82,0.1532,3.947
